	code = `4283163`		up
	code = `4348699`		down
	code = `4414235`		right
	code = `4479771`		left
	code = `2117425947`		pup
	code = `2117491483`		pdown
	code = `4741915`		home
	code = `4610843`		end
	code = `127`			delete
	code = `2117294875`		suppr
	code = `27`				clear aka insert
	code = `1096489755`		opt+up
	code = `1113266971`		opt+down
	code = `1130044187`		opt+right
	code = `1146821403`		opt+left
	code = `542061042459`	opt+pup
	code = `542077819675`	opt+pdown
	code = `79410643426075`	opt+home
	code = `77211620170523`	opt+end
	code = `42947`			opt+c
	code = `8948194`		opt+x
	code = `10127586`		opt+v
